osmid,lat,lng,names
31103692,43.2602046,-79.9232546,
31103771,43.2602674,-79.9130112,
31103773,43.2601861,-79.9159352,
31466186,43.2588941,-79.9104781,
31466266,43.2580752,-79.9107916,
31466321,43.2603234,-79.9108822,
31466777,43.2621167,-79.9121594,
31466835,43.2602974,-79.9119314,
31466973,43.2594325,-79.9134004,
31466974,43.2586849,-79.913741,
31467110,43.2623516,-79.915835,
31467112,43.262179,-79.913191,
31467312,43.2593643,-79.9159028,
31467347,43.2586261,-79.9161674,
31467372,43.2602391,-79.9140633,
36182488,43.2660886,-79.9130519,
36182506,43.2635574,-79.9155019,
36182602,43.2664709,-79.9117834,
36183084,43.2614737,-79.9153011,
36183085,43.2615108,-79.9159269,
36900076,43.2628791,-79.9128695,
36900154,43.2625843,-79.9129934,
36900261,43.2622109,-79.9137694,
36901372,43.2623654,-79.9169848,
89186278,43.2575317,-79.9269481,
89186279,43.2575643,-79.9259042,
89186280,43.257598,-79.9248597,
89186282,43.2576289,-79.9238142,
89186283,43.2576414,-79.9221739,
89186531,43.2577086,-79.9194829,
89186832,43.2576379,-79.9223146,
89187052,43.257734,-79.918445,
89187054,43.2577683,-79.9167775,
89187281,43.2578421,-79.9138158,
89187282,43.2578868,-79.9127213,
89187880,43.2594775,-79.9113426,
89188022,43.2579381,-79.9116789,
89188323,43.2579131,-79.912201,
106188698,43.2566326,-79.9153761,
106190207,43.2564975,-79.9111053,
106190210,43.2581045,-79.9105235,
106199227,43.2578246,-79.914878,
106302129,43.2567836,-79.917365,
106318221,43.2565565,-79.91645,
106322469,43.2568207,-79.9225868,
106330800,43.2572974,-79.9223808,
130049084,43.2620563,-79.9111328,
213866369,43.2633919,-79.9234721,
213866380,43.2624105,-79.9230799,
213866386,43.2619503,-79.9231029,
213866839,43.2626167,-79.9267329,
213900689,43.259194,-79.923047,
213904499,43.2640193,-79.9241007,
213904518,43.2591283,-79.9231841,
213904528,43.2581865,-79.9224816,
213904533,43.2578075,-79.9223242,
213905628,43.2657126,-79.9250366,
213910843,43.2626957,-79.9244696,
213910899,43.2607722,-79.9235042,
213911007,43.2632419,-79.9255876,
213911850,43.2635183,-79.9234908,
213913992,43.2657252,-79.9239028,
213914017,43.2633125,-79.9233292,
213919417,43.2629052,-79.9188183,
213919422,43.260475,-79.918915,
213919423,43.2601779,-79.9192445,
249637860,43.2595974,-79.9190029,
249638043,43.258444,-79.9183069,
249640167,43.2614193,-79.9231522,
284056480,43.2578714,-79.9203466,
331121883,43.2598909,-79.9263001,
331121884,43.2599571,-79.9242339,
331122966,43.2616394,-79.9272846,
331199534,43.2599311,-79.9252697,
331199572,43.2620669,-79.9228499,
331199642,43.2635905,-79.9156978,
331199689,43.2659596,-79.9186933,
331199702,43.2669518,-79.9172361,
331381227,43.259806,-79.9273749,
331584297,43.2622923,-79.9173875,
404025318,43.2613825,-79.9198308,
404025321,43.2615173,-79.9198826,
404025324,43.2626301,-79.9199319,
404025348,43.2622675,-79.9194321,
404025355,43.2621946,-79.9189712,
404025368,43.2636638,-79.9199713,
404025375,43.2643552,-79.9197006,
404025388,43.2648219,-79.9192126,
404025408,43.2654632,-79.9197161,
404025784,43.2607825,-79.9198068,
404025793,43.2609493,-79.9198157,
404025801,43.2614783,-79.9189396,
404025804,43.2617347,-79.919558,
404025810,43.2622647,-79.9195853,
404025812,43.2619086,-79.9193326,
404025816,43.2618934,-79.9195684,
404025820,43.2618022,-79.9198959,
404025824,43.2625432,-79.9195978,
404025829,43.2623359,-79.9189531,
1388847970,43.2603346,-79.9164211,
1389063899,43.264818,-79.9147543,
1389063900,43.2649121,-79.9153165,
1389063901,43.264919,-79.9147212,
1389063902,43.2654737,-79.9144491,
1389063925,43.2660994,-79.9141075,
1389063946,43.2666046,-79.9140341,
1620906431,43.2606458,-79.9208388,
1620906455,43.260829,-79.9212204,
1620906557,43.2613286,-79.9207917,
1620906561,43.2613648,-79.9203265,
1620906577,43.2616285,-79.9208149,
1620906596,43.2617638,-79.921651,
1637393712,43.2614313,-79.9227287,
1637393721,43.2620749,-79.9230512,
1637393723,43.2620645,-79.9226683,
1685278632,43.2576488,-79.9231015,
1685278633,43.2577342,-79.9223165,
1685278634,43.2577379,-79.9221757,
1685278635,43.2578967,-79.9193946,
1685278636,43.2579463,-79.9164939,
1685278637,43.2579875,-79.9140556,
1685278638,43.2580211,-79.9112294,
1685278639,43.2580291,-79.9120085,
1838278065,43.2577215,-79.9227963,
1838278071,43.2578201,-79.922579,
1838278369,43.2623894,-79.9218207,
1838278374,43.2624346,-79.9220448,
1838278397,43.2625627,-79.9218445,
1852980692,43.2678943,-79.9151864,
1940500286,43.2673674,-79.9166958,
1940949871,43.2643757,-79.9188944,
1940949876,43.2643958,-79.918769,
1940949883,43.2645215,-79.9186891,
1940949915,43.2645619,-79.9184708,
1940949924,43.2646183,-79.9175179,
1940949936,43.2646676,-79.9151653,
1940949937,43.2646725,-79.9147676,
1940949939,43.2647083,-79.9183541,
1940949940,43.2647155,-79.9147685,
1940949968,43.2647823,-79.9147884,
1940950006,43.2661865,-79.9181786,
1940950031,43.2663354,-79.9135814,
1940950214,43.2679047,-79.915595,
1942197466,43.2610561,-79.9196298,
1942197473,43.2614626,-79.9195441,
1942197475,43.2620168,-79.9191999,
1942197482,43.2622586,-79.9198866,
1942197484,43.2624247,-79.9197248,
1942197485,43.2624749,-79.9193764,
1942197488,43.2627462,-79.9199758,
1942197489,43.2627845,-79.9197638,
1942197491,43.2628125,-79.919613,
1942218768,43.261538,-79.9231747,
1942218773,43.2617661,-79.9209377,
1942218784,43.2623091,-79.9159282,
1942218790,43.2623844,-79.9159193,
1942234323,43.2583059,-79.9191115,
1942234326,43.2584301,-79.9188459,
2045806346,43.2626652,-79.9207725,
2045814003,43.2632188,-79.9196239,
2045814005,43.2638111,-79.9196541,
2045814011,43.2635243,-79.9196412,
2045814012,43.2632861,-79.9205652,
2045814016,43.2626479,-79.9214782,
2045814020,43.2633038,-79.9200125,
2045814024,43.2633138,-79.9196311,
2050938672,43.2626937,-79.9202473,
2050938676,43.2626615,-79.9204236,
2050938677,43.2626719,-79.9204705,
2050944873,43.2622089,-79.9217378,
2050950353,43.2589803,-79.9216835,
2050950356,43.2589641,-79.9220934,
2050950360,43.2591244,-79.9217001,
2050950362,43.2586164,-79.9215623,
2050950364,43.2583638,-79.9214184,
2050950366,43.2590973,-79.9226191,
2050950368,43.2595978,-79.9226548,
2050950370,43.2594193,-79.9226537,
2050950372,43.2587982,-79.9216069,
2050950373,43.2589465,-79.9225172,
2050950377,43.2587687,-79.922383,
2050950378,43.2596079,-79.9220781,
2050950381,43.2594465,-79.9217241,
2050950382,43.2592858,-79.9217168,
2050950384,43.2592571,-79.9226424,
2050950386,43.2586132,-79.9222407,
2145282906,43.2646612,-79.9193299,
2145282908,43.2609242,-79.9211016,
2145282920,43.2611189,-79.9208579,
2145282925,43.2608262,-79.9210545,
2145287652,43.2643586,-79.9191478,
2145287653,43.2640818,-79.9191423,
2145287654,43.263814,-79.9193981,
2145287656,43.2643448,-79.919378,
2145293893,43.2632321,-79.9188336,
2145293894,43.2638299,-79.918735,
2145293895,43.2638282,-79.9188526,
2407447511,43.2668674,-79.9167591,
2407447516,43.2672049,-79.9168707,
2407447517,43.2634896,-79.919701,
2407447521,43.263821,-79.9191298,
2586022962,43.2585673,-79.9187496,
2586022976,43.2600332,-79.9190219,
2586022980,43.2600605,-79.9227622,
2586022985,43.2600992,-79.9222055,
2586022989,43.2601101,-79.9218606,
2586022991,43.2601303,-79.9225951,
2586022992,43.2601307,-79.9212061,
2586022993,43.2601358,-79.9210117,
2586023000,43.2601733,-79.9191007,
2586023004,43.2602284,-79.9212102,
2586023006,43.2601615,-79.9197726,
2586023008,43.2602287,-79.9188726,
2586023010,43.2602658,-79.9188804,
2586023013,43.2603333,-79.922883,
2586023016,43.2602789,-79.9215754,
2586023019,43.2602793,-79.9190001,
2586023023,43.260324,-79.9190774,
2586023030,43.2603602,-79.9185491,
2586023043,43.2603839,-79.9186666,
2586023047,43.2604045,-79.9206466,
2586023067,43.2605955,-79.9186704,
2586023070,43.2606085,-79.9229307,
