osmid,lat,lng,names
27495897,44.227996,-76.4908268,
27495909,44.2226553,-76.4982518,
27495911,44.2244394,-76.4941718,
30341998,44.2298468,-76.4969613,
30342043,44.2223866,-76.5010065,
30342044,44.2296821,-76.5015868,
30342075,44.2297434,-76.4999864,
30342076,44.2272978,-76.4997423,
30342093,44.225044,-76.4974769,
30342121,44.2278548,-76.4967324,
30342126,44.2296934,-76.493004,
30342127,44.2297833,-76.4944441,
30342159,44.2286198,-76.5015038,
30342160,44.2286743,-76.4998851,
30342164,44.2276719,-76.4918741,
30342165,44.2247953,-76.4916043,
30342168,44.2259974,-76.4933852,
30342171,44.2254809,-76.4936232,
30342207,44.227297,-76.4898404,
30342208,44.2273712,-76.4907613,
30362877,44.2236819,-76.4995537,
30363095,44.2231482,-76.4903471,
30363114,44.2229736,-76.4899061,
30363336,44.2226104,-76.4902963,
30363952,44.2229661,-76.4901646,
31395374,44.2247281,-76.4920893,
31395383,44.2275877,-76.4982186,
32871499,44.2253911,-76.4932782,
32993826,44.2249531,-76.4900782,
32993827,44.2249128,-76.4900875,
32993830,44.2238077,-76.4899258,
32993891,44.2235889,-76.4902624,
32993911,44.2258492,-76.4906091,
32993913,44.225762,-76.4916949,
32994060,44.2273106,-76.4896736,
33413527,44.2244537,-76.5011719,
33721047,44.2243834,-76.4945764,
34148128,44.2254447,-76.4945715,
34148129,44.2254562,-76.4940172,
34148130,44.2256854,-76.4942657,
34148131,44.2259116,-76.4945255,
34148132,44.2248834,-76.4987573,
34200190,44.222466,-76.4954751,
34200201,44.2219526,-76.4901231,
35721255,44.2243307,-76.4949564,
35721263,44.2246463,-76.4951011,
35721266,44.2243062,-76.4951331,
35721358,44.2256663,-76.4930944,
35721359,44.2256118,-76.4928451,
35721360,44.2256517,-76.4925314,
35721488,44.2261726,-76.4936434,
35721491,44.2255288,-76.4939086,
35721514,44.2289694,-76.4968659,
97135135,44.2273197,-76.491841,
97157791,44.2221809,-76.4934522,
97157917,44.2225121,-76.4935144,
97157922,44.2229572,-76.4934726,
97175445,44.2297958,-76.4984741,
108805208,44.225661,-76.4967132,
108805209,44.2251737,-76.4966045,
108805414,44.2254495,-76.4972003,
108807639,44.2265978,-76.4947018,
108807643,44.2278569,-76.4947918,
108807813,44.2265331,-76.493394,
108808195,44.2269975,-76.4947192,
108809977,44.2269895,-76.4940018,
108810488,44.2262175,-76.4947039,
108810490,44.2260762,-76.4933865,
108810970,44.2264116,-76.4922376,
108810980,44.2262218,-76.491738,
305088290,44.2257542,-76.4911225,
305088318,44.2272229,-76.4923639,
305088949,44.2250014,-76.4971848,
305090886,44.2222408,-76.4909867,
305091170,44.2264446,-76.49271,
305091177,44.2262341,-76.4926487,
305091189,44.2264666,-76.4924302,
305091193,44.2264476,-76.4922985,
305091200,44.2263714,-76.4925197,
305091206,44.2263487,-76.4924607,
305091212,44.2262605,-76.4922322,
305091351,44.2289177,-76.4955849,
305091352,44.2289065,-76.4950846,
305157987,44.225601,-76.4943748,
305157992,44.2254817,-76.4943493,
387492710,44.2278334,-76.4964389,
387493308,44.2278248,-76.4973129,
387493309,44.228117,-76.4973499,
387493310,44.2280103,-76.4968518,
387493501,44.2293629,-76.4969043,
387494344,44.2289664,-76.4968001,
401541049,44.2277487,-76.4919837,
401541050,44.2277122,-76.4908837,
401541055,44.2258004,-76.4906811,
401541069,44.2273685,-76.4906226,
401544444,44.2224647,-76.5010184,
401544462,44.2228536,-76.4928795,
401544481,44.2228497,-76.4904181,
401544482,44.2250021,-76.4906304,
401544483,44.2248575,-76.49161,
401544485,44.2247811,-76.4921255,
401544493,44.2243473,-76.495476,
401544497,44.2253354,-76.4955065,
401544500,44.22622,-76.4954932,
401544502,44.2268589,-76.4954864,
401544548,44.228981,-76.4956506,
401544557,44.2266484,-76.4956715,
401544560,44.2260959,-76.4956771,
401544563,44.2256528,-76.4956815,
401544577,44.2259058,-76.4897236,
401544580,44.2260612,-76.4894759,
401544666,44.2248614,-76.4906052,
401544677,44.2241217,-76.4957989,
401544690,44.2243075,-76.4956974,
401544700,44.2238589,-76.498363,
401544713,44.2228961,-76.490298,
401550382,44.2292669,-76.4900657,
401550384,44.2294209,-76.4908941,
401550387,44.2293635,-76.4898841,
401552054,44.2298295,-76.4897574,
401554653,44.2299027,-76.4955364,
401554663,44.2288655,-76.4930434,
401554664,44.2287956,-76.4909905,
401554665,44.2289895,-76.4908266,
401554666,44.2292902,-76.4902078,
401554669,44.2288076,-76.4908404,
401554670,44.2292552,-76.4899843,
401556469,44.2278315,-76.492876,
401556470,44.2288589,-76.4929557,
401556471,44.2289296,-76.4929609,
401556472,44.2289917,-76.4929656,
401556473,44.2296457,-76.4929263,
401556493,44.229772,-76.4930936,
401556494,44.2297004,-76.493083,
401556495,44.2290194,-76.493112,
401558732,44.2275318,-76.4908691,
401558733,44.2275877,-76.4918662,
401558735,44.2277204,-76.493998,
401558736,44.2277646,-76.4947986,
401558737,44.2277916,-76.4954654,
401563900,44.2227379,-76.4981336,
401563901,44.223751,-76.498249,
401563902,44.2237331,-76.4984295,
401563903,44.2227257,-76.4982683,
401563907,44.2247328,-76.4993582,
401563920,44.2272127,-76.499797,
401563923,44.2267552,-76.4998887,
401563934,44.2248934,-76.4994599,
401563938,44.2244904,-76.4996313,
401563941,44.2226088,-76.4995207,
401563942,44.2226239,-76.4993653,
401563945,44.2237615,-76.4994934,
401563947,44.2243529,-76.4995303,
401563951,44.2248925,-76.4985096,
401563953,44.2249785,-76.4978458,
401563959,44.2249923,-76.4956902,
401563960,44.2249897,-76.4967996,
401563966,44.2250769,-76.4973242,
401563969,44.225081,-76.4981443,
401563972,44.224936,-76.4987753,
401563980,44.2230559,-76.4949275,
401563981,44.2242722,-76.4949401,
401563985,44.2242128,-76.4954654,
401563988,44.2248506,-76.4916777,
401563989,44.2257187,-76.4917488,
401563990,44.2262215,-76.4917981,
401563992,44.2275916,-76.4919454,
401563993,44.2275839,-76.4917903,
401563994,44.2248652,-76.4915352,
401563995,44.2257649,-76.4916323,
443532617,44.2221778,-76.5010057,
443532619,44.2222781,-76.5009929,
443532621,44.2223766,-76.5011126,
443532623,44.2223921,-76.5009465,
443532625,44.2225309,-76.4981817,
443532632,44.2219738,-76.4906678,
443536021,44.2218446,-76.4914715,
465090740,44.2273672,-76.4989087,
465090749,44.2262116,-76.4984996,
465090751,44.2260561,-76.4983353,
465090760,44.2264326,-76.4974971,
465090763,44.2276407,-76.4979234,
465090764,44.2270223,-76.4977053,
465090767,44.2270392,-76.4971681,
465090768,44.2266056,-76.4971512,
465090770,44.2266064,-76.4975584,
465090772,44.2273408,-76.4987697,
465090781,44.2266061,-76.4976019,
465090784,44.227005,-76.4977626,
465090787,44.2274734,-76.4980448,
465101884,44.2260068,-76.4996324,
465101885,44.2268886,-76.4987351,
465101886,44.2268639,-76.4988774,
465101887,44.2264815,-76.4985934,
465101888,44.2264559,-76.4987296,
465101889,44.2271418,-76.4988232,
465103469,44.226241,-76.4975053,
465188773,44.2224594,-76.5010858,
465188776,44.2224729,-76.5009526,
470094897,44.227256,-76.498955,
526540892,44.224329,-76.4945616,
526540898,44.2243852,-76.4941584,
603252397,44.2298253,-76.4950679,
642336684,44.2245102,-76.5011169,
642336704,44.2247419,-76.4996054,
642340466,44.224806,-76.495678,
642340478,44.2249666,-76.4959478,
642340485,44.2247206,-76.4955174,
650963259,44.227716,-76.4915079,
650965668,44.2289362,-76.4931136,
655446916,44.2227685,-76.4913802,
796572716,44.2298236,-76.4896813,
796572722,44.2299524,-76.4896484,
796572726,44.2293477,-76.4897983,
796572745,44.229837,-76.4898543,
796572746,44.2293799,-76.4899742,
1327029793,44.2220462,-76.4918357,
1553158939,44.2268552,-76.4947191,
1696386971,44.2240478,-76.4964642,
1696386973,44.2252434,-76.4979234,
1696386974,44.2253447,-76.4927859,
1696386976,44.22566,-76.496583,
1705398509,44.2259675,-76.4931669,
1705398648,44.2250034,-76.4964104,
1720958476,44.227297,-76.493023,
2003715649,44.2254804,-76.4933791,
2003715655,44.2256717,-76.4939472,
2003715672,44.225913,-76.4935975,
2164610677,44.2289563,-76.4942371,
2164610681,44.228906,-76.4942432,
2418403626,44.2258618,-76.4973781,
2418403630,44.2262952,-76.499539,
2418403631,44.2264313,-76.4987709,
2418403632,44.2264524,-76.4995932,
2418403633,44.2265851,-76.4988268,
2418403634,44.2266202,-76.499614,
2418403636,44.2267481,-76.498886,
2418403637,44.2267943,-76.4996048,
