u,v,length
20979755,60052065,50.482450843264466
26240542,394499178,11.829716560706288
29603223,3700457881,15.096193618645836
29603223,12003523110,13.114154781769765
29603223,394500548,12.303017575661709
29603223,12003523109,13.365881735559675
29603436,393552034,10.070749183187445
29604999,773495394,7.264860199932544
29605004,391169143,12.731247641318474
29605013,769486905,7.9352429150122346
29605014,769486905,79.08020917949064
29688406,400708678,8.44536258657321
29689064,400990535,8.110454983580038
29689090,394507699,7.471531921755184
29689119,13707173697,6.5218871765834825
29689119,13707173695,5.580606855734653
29689119,11413550589,4.9658434214896365
29689667,266582324,28.423903256030705
29689667,2014631979,24.180526249554905
29689667,266582321,26.42948045715231
32759949,394507703,7.110020775143537
34404231,412354778,8.542168858086981
36607342,50899680,23.09486969909971
36607360,391169143,11.935292521612114
42606687,6283001325,4.586277793484173
42606695,6283001324,4.709588094533095
42606787,391169146,9.430721633204955
42606791,391169146,9.890109059973131
42606855,6378801416,13.42888091065297
42606855,6378801417,6.87384368854049
42606855,6994226902,13.634035168863353
42606884,2427129313,45.02204152756992
42606884,394499179,89.7139643624614
42606884,8435073794,28.815148811021075
42606888,394506455,8.80348310020778
50897901,1721865756,38.60216905623396
50897901,60052065,74.92697975917591
50897901,1721865897,22.861895329887084
50899620,50899680,21.467951146927355
50899680,50899717,56.23761320453693
50899680,36607342,23.09486969909971
50899680,50899620,21.467951146927355
50899717,50899680,56.23761320453693
50899717,2179128302,8.940978950211013
50899717,1721865756,27.267118325322357
50899717,2485321566,121.00157422982119
52922360,2457608793,4.416822059166179
53542435,391170480,53.52666180701171
60032757,400708678,11.916083212668077
60052038,9295001674,50.304517476896734
60052038,60052049,26.21521068754583
60052038,60052050,27.646439611043746
60052038,9295001644,12.501548305595433
60052048,60052049,10.583958143847719
60052048,389677926,18.498185526620773
60052048,13482439814,4.835262271717141
60052048,9295001674,66.85942708399678
60052049,60052048,10.583958143847719
60052049,60052050,28.5668798864264
60052049,60052038,26.21521068754583
60052049,389677927,21.030250238422795
60052050,417737948,5.552534943689744
60052050,60052049,28.5668798864264
60052050,60052038,27.646439611043746
60052050,389677937,12.358241565722784
60052050,389677928,34.72424056559822
60052054,9295001519,3.0374265693205915
60052054,1721865349,5.639662251299212
60052054,2129327636,19.871584388296007
60052061,389678275,7.820549058393955
60052065,1252845689,37.1430693096287
60052065,50897901,74.92697975917591
60052065,20979755,50.48245084326447
85058607,8709768330,5.917908070243761
87486205,391169147,9.871827577129281
87486207,391169147,9.373236781975308
95378334,400979103,11.523510953626346
95380046,391186799,7.625366889700184
95380051,390543739,7.485615776138088
118410163,391170479,9.535626446429212
118411313,3712850184,61.94366378037627
123359419,1721792834,16.061408384593214
123360260,123360265,31.257034308276072
123360260,1721792844,18.91490578664275
123360260,1721792872,20.13030192437254
123360265,1721792796,13.07020498558983
