osmid,lat,lng,names
20979755,43.6617827,-79.3898782,
26240542,43.6562972,-79.37958,
29603223,43.6563354,-79.3809131,
29603436,43.6554206,-79.3851985,
29604999,43.6583838,-79.3913969,
29605004,43.6554915,-79.3884449,
29605013,43.6538026,-79.3853968,
29605014,43.653075,-79.3850052,
29688406,43.6540748,-79.379956,
29689064,43.6621727,-79.3778606,
29689090,43.6601944,-79.3770449,
29689119,43.6610088,-79.3773808,
29689667,43.6544881,-79.3816691,
32759949,43.6606924,-79.3747259,
34404231,43.6606883,-79.3788567,
36607342,43.6607316,-79.3906739,
36607360,43.6554283,-79.3887388,
42606687,43.6513791,-79.3908232,
42606695,43.6513277,-79.3910638,
42606787,43.6582588,-79.3896571,
42606791,43.6582088,-79.3898871,
42606855,43.6522366,-79.3915823,
42606884,43.6569908,-79.3792604,
42606888,43.6544588,-79.3781808,
50897901,43.6618572,-79.3913673,
50899620,43.6606597,-79.391079,
50899680,43.660807,-79.3909238,
50899717,43.6612901,-79.3911307,
52922360,43.6546952,-79.3842028,
53542435,43.6519004,-79.3845405,
60032757,43.654027,-79.3802003,
60052038,43.6602026,-79.3911775,
60052048,43.6599456,-79.3913775,
60052049,43.659973,-79.3912515,
60052050,43.6600457,-79.3909109,
60052054,43.660365,-79.3902301,
60052061,43.6635555,-79.3908315,
60052065,43.6619313,-79.3904556,
85058607,43.6560183,-79.3797941,
87486205,43.6592594,-79.3900868,
87486207,43.6592144,-79.3903178,
95378334,43.6612595,-79.3836915,
95380046,43.6614665,-79.3865491,
95380051,43.6623558,-79.3869221,
118410163,43.6513105,-79.3844198,
118411313,43.6533545,-79.3829379,
123359419,43.6626146,-79.3894848,
123360260,43.6624712,-79.3890578,
123360265,43.6622925,-79.3893453,
211893012,43.658338,-79.3772327,
211893022,43.6566347,-79.3765393,
213274739,43.6592379,-79.3814492,
246692484,43.6586839,-79.381916,
246693686,43.6583343,-79.3856719,
246696320,43.6583252,-79.3835784,
253433631,43.6569465,-79.3800722,
253939672,43.6571236,-79.3786554,
260707894,43.6571465,-79.3851105,
260707895,43.6562746,-79.3847666,
266582321,43.6544239,-79.3819854,
266582324,43.6545488,-79.3813259,
266582326,43.6548386,-79.3818247,
280889412,43.6605074,-79.3826949,
281361637,43.6619256,-79.3765005,
281361650,43.6615582,-79.3756492,
281361654,43.6619567,-79.3763414,
281361655,43.6612418,-79.3758339,
281361656,43.6616395,-79.3758041,
281361657,43.6620662,-79.3757962,
281361740,43.6571682,-79.3757793,
281361741,43.65697,-79.3766893,
281361979,43.6558609,-79.380036,
281660610,43.652266,-79.3848204,
281662536,43.6512767,-79.3797083,
281670312,43.6574087,-79.3839521,
281671734,43.6538882,-79.3853184,
281672004,43.651336,-79.3843028,
286054288,43.6621825,-79.3752624,
286054308,43.6619928,-79.3745375,
286054309,43.6622892,-79.3746633,
286054434,43.6607806,-79.3747669,
286268354,43.6608445,-79.3875245,
286268413,43.6610484,-79.3865746,
295265834,43.6626307,-79.3856883,
303255353,43.6584337,-79.3897293,
306724439,43.6528044,-79.3845075,
306724442,43.6533244,-79.3830553,
306724443,43.6518301,-79.3840342,
306724444,43.6513296,-79.3838211,
338824368,43.6635425,-79.3807443,
344474250,43.662167,-79.3827238,
344476324,43.6586111,-79.3773416,
344477312,43.660313,-79.3764565,
344543678,43.6635997,-79.3772018,
344543682,43.6633543,-79.3784393,
356321317,43.6581966,-79.3856204,
356321326,43.6586963,-79.3866233,
356321357,43.6584066,-79.386582,
356321364,43.6584208,-79.3864827,
356321371,43.6594766,-79.3869623,
356321424,43.6593643,-79.3874407,
371812129,43.6611616,-79.3832233,
389677926,43.659783,-79.3913289,
389677927,43.6597887,-79.3913102,
389677928,43.6598118,-79.3911969,
389677934,43.6599022,-79.3907585,
389677937,43.6599624,-79.3908092,
389677942,43.6607325,-79.3915951,
389678255,43.6598063,-79.3901701,
389678257,43.6600066,-79.3902485,
389678265,43.6620924,-79.3898608,
389678275,43.6634872,-79.3908083,
389678277,43.6635653,-79.3904677,
389688359,43.6635153,-79.3907001,
390539238,43.6608873,-79.3860428,
390543731,43.6618318,-79.3897544,
390543732,43.6619478,-79.3892046,
390543733,43.6625193,-79.3865259,
390543735,43.662579,-79.3862718,
390543737,43.6616995,-79.3897158,
390543739,43.6622916,-79.3868941,
