osmid,lat,lng,names
416185254,43.5339482,-80.2325033,
416186657,43.5340054,-80.2371132,
416189992,43.5333624,-80.2342919,
416190224,43.5279,-80.2292132,
416193506,43.5320615,-80.2205584,
416194631,43.5405349,-80.2154608,
416196642,43.5281755,-80.237911,
416198444,43.5392732,-80.2156698,
416201566,43.5294156,-80.2196171,
416202003,43.5352166,-80.2284205,
416203472,43.5240173,-80.2224875,
416204077,43.5358306,-80.2242736,
416204136,43.5232127,-80.2191624,
416204811,43.5305921,-80.2239701,
416205163,43.532565,-80.2286544,
416206814,43.5348124,-80.2324624,
416207231,43.5356967,-80.2223046,
416209290,43.5349438,-80.2212583,
416210386,43.5325466,-80.2212664,
416210610,43.5253002,-80.220353,
416214185,43.5351467,-80.2349396,
416216955,43.5299005,-80.2189776,
416219822,43.5244132,-80.2142581,
416221031,43.5306652,-80.2361401,
416222830,43.5314906,-80.2350211,
416223300,43.5231447,-80.2229866,
416223363,43.5231556,-80.2163453,
416224036,43.5285482,-80.2205069,
416224071,43.5347983,-80.2374847,
416224102,43.5299256,-80.2371342,
416225047,43.5281835,-80.2232897,
416227407,43.5365377,-80.2307941,
416229275,43.5400366,-80.2146488,
416230475,43.5379999,-80.2246129,
416230937,43.52699,-80.2198855,
416230964,43.5229499,-80.218226,
416231220,43.5256989,-80.2143051,
416242086,43.52904,-80.2247186,
416244055,43.5277485,-80.2265691,
416249443,43.5268834,-80.2160712,
416250191,43.5293623,-80.2242861,
416257630,43.5263146,-80.2348005,
416257919,43.5263364,-80.2151706,
416258196,43.5284393,-80.2255859,
416258902,43.5314744,-80.2378675,
416259663,43.5344913,-80.2339312,
416259783,43.5339106,-80.2265418,
416259980,43.5311958,-80.2231357,
416260659,43.5351958,-80.2329721,
416261211,43.5285029,-80.2239148,
416261659,43.5297403,-80.2314258,
416261668,43.5296608,-80.231533,
416268345,43.5287105,-80.2235186,
416268351,43.5306362,-80.2345739,
416271192,43.5361711,-80.2361181,
416272315,43.5285361,-80.2254335,
416272701,43.5325029,-80.224606,
416273528,43.5370558,-80.23771,
416274380,43.5269532,-80.2176812,
416275846,43.5346067,-80.2310435,
416275937,43.5360875,-80.2358687,
416276073,43.525796,-80.2190253,
416276235,43.5312034,-80.2353959,
416276353,43.5324056,-80.234948,
416277123,43.5367341,-80.2370099,
416277864,43.526128,-80.2194615,
416277933,43.5337567,-80.2228972,
416279099,43.5330377,-80.2357654,
416279362,43.5263038,-80.219716,
416279381,43.5320244,-80.2357721,
416280117,43.5344946,-80.2239259,
416280322,43.5325162,-80.2364597,
416282150,43.5272858,-80.2300541,
416282380,43.5235963,-80.2186194,
416282825,43.5342396,-80.2222232,
416283047,43.5334897,-80.2378096,
416284463,43.535577,-80.2204231,
416285921,43.5347115,-80.2362667,
416287074,43.5293443,-80.2363548,
416290383,43.5272235,-80.2335786,
416290466,43.5230193,-80.2289552,
416290821,43.534425,-80.2294685,
416293252,43.5372212,-80.2384558,
416295319,43.5319594,-80.217631,
416297455,43.5244567,-80.2159577,
416298108,43.5335699,-80.2306113,
416298702,43.5350004,-80.2232478,
416298816,43.5353038,-80.2250162,
416300816,43.5270786,-80.2337694,
416300946,43.5380497,-80.2173134,
416302746,43.5327398,-80.224287,
416304757,43.5293807,-80.2343054,
416304791,43.5319915,-80.2371682,
416307105,43.5285119,-80.2374708,
461629148,43.5354594,-80.2360979,
461629149,43.5353739,-80.2371834,
461629151,43.536453,-80.2384053,
461631056,43.5263346,-80.220721,
461631057,43.5291849,-80.2213738,
461631058,43.525586,-80.2213089,
461631067,43.5303874,-80.2196804,
461631070,43.531808,-80.2175468,
461631079,43.531863,-80.2173891,
461631088,43.5336067,-80.2270747,
461631089,43.5385941,-80.2180886,
461631094,43.5328651,-80.2306818,
461631102,43.536495,-80.2266711,
461631103,43.533179,-80.2311266,
461631104,43.5346547,-80.2291629,
461631108,43.536346,-80.2235488,
461640876,43.5278304,-80.2264606,
461641822,43.5240764,-80.2303734,
461641853,43.5235949,-80.2297355,
461641855,43.5252648,-80.2276027,
462068849,43.5232506,-80.2293443,
462068871,43.5233096,-80.2292658,
462068927,43.5232401,-80.2291703,
462068932,43.5231816,-80.2292491,
462068950,43.5250312,-80.2271567,
462068959,43.5249173,-80.2270862,
462069379,43.5265895,-80.2244166,
462069385,43.5267148,-80.2247693,
462069386,43.5270977,-80.2241637,
462069387,43.5262425,-80.2252496,
462069391,43.5270385,-80.2254542,
462069392,43.526566,-80.2247025,
462069395,43.5266331,-80.2248756,
1036711629,43.5338155,-80.2331685,
1036711637,43.5342974,-80.2341338,
1036711642,43.5267765,-80.2249097,
1470479974,43.5267507,-80.2293233,
1497885329,43.5292889,-80.226521,
1506809892,43.5294684,-80.2312582,
1525602983,43.5274654,-80.2272578,
1525602985,43.5273491,-80.2270826,
1525603783,43.5270881,-80.2274238,
1525603786,43.5272202,-80.2276049,
1527583414,43.5274013,-80.2262266,
1527583421,43.5271521,-80.2258877,
1527583429,43.5257641,-80.2261631,
1527583431,43.5275836,-80.2264949,
1527583442,43.5250618,-80.2271158,
1527583446,43.5266346,-80.2251216,
1527583451,43.5265646,-80.2251163,
1527586295,43.5267669,-80.2256447,
1527586325,43.5263857,-80.226165,
1545217726,43.5257052,-80.2274895,
1545217727,43.5261214,-80.2269607,
1586473482,43.5292973,-80.2264151,
1586474031,43.5297534,-80.2268257,
1586475114,43.5297368,-80.2263268,
1586476765,43.5289379,-80.2248501,
1586476831,43.529925,-80.2260723,
1586476834,43.5297341,-80.2263013,
1586477092,43.5300258,-80.2262239,
1600148913,43.5255996,-80.2276651,
1600157083,43.5268026,-80.2276034,
1600164523,43.5274479,-80.2263718,
1600164547,43.5274769,-80.2263393,
1600164548,43.5273466,-80.2263066,
1600178425,43.5267722,-80.2278466,
1600187210,43.5266485,-80.229307,
1600187220,43.526517,-80.2294971,
1600187387,43.5263374,-80.2293092,
1600192773,43.5258798,-80.2282822,
1600192774,43.5259792,-80.2303739,
1600192779,43.5253767,-80.2288791,
1600192780,43.5266967,-80.2293938,
1600192781,43.5262335,-80.2300253,
1600192782,43.5258205,-80.2285879,
1600192783,43.5251749,-80.2288812,
1731064653,43.5332077,-80.2320815,
1731070050,43.5330901,-80.231397,
1731070052,43.5326201,-80.2320887,
1731070068,43.5327854,-80.2329518,
1731070071,43.5326981,-80.2328038,
1731070085,43.5327363,-80.2330137,
1731070086,43.5326721,-80.2330999,
1731186975,43.5355298,-80.2299349,
1731186985,43.5356454,-80.2313505,
1731202577,43.5356141,-80.2278758,
1731202591,43.5360225,-80.2273246,
1731233367,43.5326302,-80.2217685,
1731285583,43.5300841,-80.223982,
1731286935,43.5313291,-80.2222629,
1731286938,43.5307087,-80.2231202,
1731293226,43.5250924,-80.2245439,
1731293237,43.5252244,-80.2243485,
1731293238,43.5252543,-80.224516,
1731293243,43.5251068,-80.2243507,
1731293246,43.5241707,-80.2261136,
1731296862,43.5233518,-80.2284921,
1731296874,43.5231419,-80.2282968,
1731296878,43.5233177,-80.2285237,
1731296883,43.5247997,-80.2269332,
1731296898,43.5235516,-80.2285872,
1731296899,43.523286,-80.2289385,
1731296900,43.5233024,-80.2284539,
1731296902,43.5233362,-80.2284469,
1731296904,43.5233715,-80.2283881,
1731298221,43.5232142,-80.2274018,
1732045938,43.5295831,-80.2260437,
1881176449,43.5335781,-80.2154603,
1891010958,43.5283875,-80.2277951,
1891010959,43.5282961,-80.2279061,
1891010960,43.5282059,-80.2277436,
1891010964,43.5282712,-80.2276385,
1891010966,43.5281348,-80.2283134,
1891010967,43.5282258,-80.2281891,
1891010969,43.5286099,-80.2278169,
1891010970,43.5286728,-80.22792,
1891010971,43.5281921,-80.2284963,
2106637675,43.5281976,-80.2282229,
2106637679,43.5283716,-80.228271,
2117389307,43.5294727,-80.2266559,
2158045699,43.5231768,-80.2290849,
2160881569,43.527756,-80.2267483,
2187017663,43.528958,-80.2195928,
2187017665,43.5289891,-80.2198001,
2187017668,43.5291141,-80.2196248,
2187017670,43.5293829,-80.219658,
2187916490,43.5311106,-80.2291335,
2187916494,43.5319766,-80.227537,
2187916495,43.5319987,-80.2284091,
2187916497,43.5320491,-80.228758,
2187916501,43.5322278,-80.2323862,
2187916503,43.5325046,-80.2282641,
2187916504,43.5325458,-80.228321,
2187916535,43.5294763,-80.2241315,
2187916537,43.5338036,-80.2302888,
