osmid,lat,lng,names
15434342,43.4823511,-80.5250019,
250197410,43.4699105,-80.5283232,
250197412,43.4678015,-80.526536,
250197415,43.4695953,-80.5281909,
250197440,43.4666763,-80.5240268,
250197467,43.469467,-80.5222833,
250197471,43.4689215,-80.5199264,
250197481,43.4681166,-80.5197002,
250197482,43.465578,-80.5245245,
250197483,43.4653623,-80.5250034,
250197486,43.4717348,-80.5206436,
250197487,43.4671777,-80.5253861,
250633030,43.4670676,-80.5295991,
250633032,43.4668782,-80.530149,
250633034,43.4670347,-80.5304659,
250931942,43.4658464,-80.535299,
250931943,43.4659574,-80.5349688,
250931944,43.4625443,-80.539072,
250931957,43.464122,-80.5272878,
250931961,43.4651337,-80.5229046,
250931965,43.465943,-80.523109,
251576070,43.4623523,-80.5298784,
251576072,43.4626656,-80.5329005,
251576074,43.4614469,-80.5332494,
251576075,43.4630619,-80.5318451,
252828861,43.4654732,-80.5202573,
253114355,43.472017,-80.5223548,
253114356,43.4722686,-80.5222985,
253114365,43.4730917,-80.5199225,
253114366,43.4738867,-80.5203475,
253262186,43.4722559,-80.5269883,
253262187,43.4714814,-80.526333,
253262193,43.4726656,-80.532119,
256993300,43.4765821,-80.5237662,
256993756,43.4684674,-80.5314361,
256993774,43.4723738,-80.5227429,
267812666,43.4689016,-80.5399269,
267812712,43.46647,-80.5413552,
267812716,43.4674185,-80.5435068,
267812728,43.4740273,-80.546008,
268012607,43.4726205,-80.5480823,
279058208,43.4854779,-80.5518578,
279061794,43.4842451,-80.5507251,
279061800,43.4866727,-80.5468749,
279061820,43.486084,-80.5511062,
279061854,43.4859326,-80.5487211,
279226498,43.4859292,-80.552667,
279227005,43.4866717,-80.554535,
279227035,43.4847252,-80.5552453,
279227036,43.484526,-80.5550294,
279227037,43.4842355,-80.5547592,
279227038,43.4839548,-80.5546472,
279227043,43.4843435,-80.5558689,
279227058,43.4851318,-80.5514387,
279227067,43.4861901,-80.5533298,
279227069,43.4850003,-80.5530671,
279396511,43.4827791,-80.5546335,
279396682,43.477475,-80.5480943,
279396686,43.4772689,-80.5479476,
279396722,43.4784322,-80.5542285,
279397980,43.4759262,-80.552081,
279397998,43.4771163,-80.5552804,
279398001,43.4773154,-80.5555238,
279398025,43.4785557,-80.5532853,
279398031,43.4776939,-80.5530608,
279398046,43.4786692,-80.5527752,
279398049,43.4789658,-80.552278,
279398051,43.4791219,-80.5517541,
279398053,43.4792291,-80.5513759,
279398055,43.4793689,-80.5511556,
279398080,43.4783145,-80.5522248,
279398085,43.4784967,-80.5519847,
279398089,43.4790288,-80.5511249,
279398096,43.4785524,-80.5522201,
279398098,43.4786203,-80.5523051,
279398108,43.4773554,-80.5551983,
279398109,43.4769676,-80.5554461,
280639903,43.4828524,-80.5550131,
280639905,43.4828646,-80.5548118,
280639909,43.4828783,-80.5546696,
280901693,43.4857659,-80.5374489,
281858663,43.4837727,-80.5501447,
281858664,43.4829923,-80.54928,
281858666,43.4836724,-80.5475919,
281858667,43.4837467,-80.5474996,
281859180,43.4678221,-80.5325878,
281859184,43.4672042,-80.5318798,
281859188,43.4673045,-80.5315693,
281859189,43.4673186,-80.5314955,
281859190,43.4673107,-80.5313932,
281859196,43.4669307,-80.531093,
281859209,43.4672803,-80.5279821,
281859211,43.4675262,-80.5279421,
281860406,43.4809963,-80.5287272,
281860407,43.4825603,-80.5297833,
281860408,43.4821795,-80.5308461,
