osmid,lat,lng,names
258946523,43.0087776,-81.2871367,
258961735,43.0005301,-81.2814795,
258961737,43.0000074,-81.2832344,
258961738,43.002559,-81.2850693,
258961739,43.0020197,-81.286913,
260772564,42.9978677,-81.2844879,
260774595,42.9992319,-81.2822043,
260890489,42.9995755,-81.2808732,
260890490,42.9997607,-81.2802491,
262422401,43.0153699,-81.2752282,
262422422,43.0115247,-81.2801875,
262422423,43.0121311,-81.2791864,
262422427,43.0153541,-81.2791406,
262422436,43.0152349,-81.2824813,
262422440,43.0144721,-81.2814532,
262422442,43.0154726,-81.2786035,
262422449,43.0148109,-81.2836644,
277638563,43.0134221,-81.2818953,
277638568,43.0122898,-81.2857041,
298896153,43.0004336,-81.269253,
305088403,43.0020421,-81.2677681,
305088411,43.0006222,-81.2685782,
305088412,43.0010093,-81.2672495,
305088416,43.0033375,-81.2673,
305088448,43.0050914,-81.2658145,
305088461,43.0057874,-81.2634581,
305088463,43.004565,-81.2628073,
305088467,43.0036864,-81.2659613,
305088478,43.0026804,-81.2654385,
305088479,43.0016519,-81.264919,
305088480,43.0023593,-81.2666102,
305088481,43.00133,-81.2660863,
313507870,43.0106979,-81.2642131,
313507874,43.0107843,-81.2651163,
347555879,43.0003742,-81.2859042,
347941029,42.9993615,-81.2853824,
360055094,43.0111197,-81.2777957,
360055095,43.0107146,-81.2797158,
360055100,43.0119159,-81.2792327,
378376932,43.0060011,-81.2750902,
378376953,43.0060963,-81.2749102,
378376993,43.0060351,-81.2752923,
416190005,43.0077655,-81.2793171,
416203987,43.0068266,-81.2826139,
416210501,43.0066097,-81.2836191,
474865181,43.0139361,-81.280175,
474865190,43.0147416,-81.2806164,
481695543,43.0137279,-81.2760278,
481695544,43.0137101,-81.2759933,
481695548,43.012996,-81.2759768,
481695549,43.0127286,-81.2762288,
481695550,43.0126398,-81.2762566,
481695555,43.0123791,-81.27554,
481695556,43.012969,-81.2757308,
481695560,43.0142056,-81.2751284,
481695562,43.0139594,-81.2758262,
481695567,43.0124997,-81.2743768,
481695570,43.0121142,-81.272986,
481695571,43.0116787,-81.2732792,
481695573,43.0112812,-81.2739437,
481695575,43.0112536,-81.2741993,
481695580,43.0095533,-81.2712095,
481695593,43.0094179,-81.270866,
506311729,43.0027861,-81.273996,
539301649,43.0032023,-81.2828926,
539301862,43.0129109,-81.2860448,
539301864,43.0123876,-81.2857438,
539301871,43.0140215,-81.2864799,
539301876,43.0130606,-81.2861374,
539301882,43.0134134,-81.2863287,
539301899,43.0131446,-81.2838284,
539301913,43.0147685,-81.2862213,
539301925,43.0152737,-81.2858749,
885596137,43.008017,-81.2667663,
885596145,43.0082869,-81.2669041,
885596168,43.0094958,-81.2667466,
885596183,43.0110577,-81.2675253,
885596216,43.0147073,-81.2673675,
885596237,43.0147278,-81.2648246,
1072463637,43.0148197,-81.2670838,
1072463640,43.0145243,-81.2670133,
1072463655,43.0141822,-81.2679148,
1072463660,43.0145716,-81.2670544,
1072463673,43.0146178,-81.2677828,
1233036018,43.0093477,-81.2704464,
1233036027,43.0092125,-81.2707722,
1233036028,43.0077301,-81.2768602,
1335031838,43.0024814,-81.2760032,
1335032026,43.0025131,-81.2757242,
1335032065,43.0070365,-81.2738907,
1335032158,43.0033726,-81.2760197,
1335032195,43.0030125,-81.273441,
1335032198,43.0031865,-81.2759992,
1335032216,43.0023572,-81.2763183,
1335032237,43.0026518,-81.2759506,
1335032241,43.0034218,-81.2763172,
1335032355,43.003412,-81.2765177,
1345409285,43.0009427,-81.2726094,
1345409394,42.9996402,-81.2722869,
1345409446,43.0030096,-81.2724876,
1345409482,43.001062,-81.272747,
1345409522,43.0011535,-81.2726023,
1345409532,43.0010666,-81.2728158,
1345409542,43.002914,-81.2723515,
1377209277,42.9976714,-81.2799272,
1377209300,42.9977815,-81.2799566,
1377209304,42.9978492,-81.2794678,
1377209322,42.9984929,-81.27833,
1377209330,42.9987349,-81.2773287,
1377209344,42.9988496,-81.2770713,
1377209369,42.9992889,-81.2798311,
1377209376,42.9992765,-81.2796108,
1377209380,42.9993598,-81.2796662,
1377209387,42.9994693,-81.2773958,
1377209411,43.0000526,-81.2777175,
1377209435,43.000366,-81.2777903,
1377209437,43.0004387,-81.2773105,
1377209440,43.0004443,-81.2771286,
1377260620,42.9979708,-81.2844272,
1377260646,43.0001409,-81.2825558,
1377260647,43.0006129,-81.2816179,
1377260649,43.0013917,-81.2783307,
1377260662,43.0032034,-81.282761,
1397553457,43.0105867,-81.2828984,
1397553609,43.0134444,-81.2864759,
1397553720,43.0142042,-81.2831222,
1397553982,43.0145797,-81.2833382,
1397554102,43.0147733,-81.2863514,
1397554330,43.0152661,-81.2769129,
1402775142,43.0147787,-81.2687397,
1402775185,43.0154317,-81.2684363,
1402775371,43.0153031,-81.2686591,
1403683738,43.0022273,-81.2763682,
1403683740,43.0031731,-81.2728875,
1403683772,43.0037647,-81.2751524,
1403683780,43.0044833,-81.2760077,
1403683790,43.0046269,-81.2751111,
1403683794,43.0047546,-81.2751224,
1403683812,43.0052381,-81.2733872,
1403683832,43.0054632,-81.2722178,
1403683844,43.0055328,-81.2735788,
1403683866,43.0056301,-81.2746049,
1403683883,43.0056957,-81.2750641,
1403683902,43.0057987,-81.276635,
1403683931,43.0059346,-81.2754097,
1403683938,43.0059565,-81.2753512,
1403683979,43.0060747,-81.2770383,
1403683981,43.0060801,-81.2767711,
1403683985,43.0060817,-81.2766235,
1403683992,43.0061031,-81.2763926,
1403684006,43.0061222,-81.2761086,
1403684021,43.0061665,-81.2777359,
1403684025,43.0061755,-81.270854,
1403684032,43.006181,-81.2716875,
1403684049,43.0062295,-81.2764019,
1403684050,43.0062245,-81.2719162,
1403684054,43.0062467,-81.2761247,
1403684069,43.0062861,-81.2747934,
1403684072,43.0062892,-81.2747556,
1403684076,43.0062851,-81.2754294,
1403684099,43.0063118,-81.2746153,
1403684111,43.0063322,-81.2745109,
1403684117,43.006371,-81.2718059,
1403684118,43.0063503,-81.27495,
1403684132,43.0063936,-81.2718828,
1403684142,43.0064179,-81.2742176,
1403684144,43.0064039,-81.2750201,
1403684151,43.0064341,-81.2747249,
1403684170,43.00649,-81.2748019,
1403684202,43.006571,-81.2757122,
1403684207,43.0065943,-81.2746871,
1403684211,43.0066328,-81.2757133,
1403684218,43.0065976,-81.2757858,
1403684236,43.0067041,-81.2749431,
1403684268,43.0068777,-81.2702234,
1403684288,43.0070276,-81.2734367,
1403684300,43.0071034,-81.2750405,
1403684333,43.0072366,-81.2696223,
1403684335,43.0072459,-81.2696921,
1403684384,43.0073424,-81.2656723,
1403684391,43.007357,-81.2701509,
1403684433,43.0073598,-81.2778162,
1403684435,43.0074975,-81.2657447,
1403684437,43.0074953,-81.2664475,
1403684438,43.0075281,-81.2694716,
1403684461,43.0075379,-81.2660862,
1403684484,43.0076208,-81.2657964,
1403684495,43.00762,-81.2665096,
1403684541,43.0077223,-81.2702736,
1403684557,43.0077513,-81.2700643,
1403684595,43.0078339,-81.2659122,
1403684623,43.0079168,-81.2700501,
1403684640,43.0079282,-81.2764612,
1403684678,43.0080712,-81.2662914,
1403684738,43.0082042,-81.2699614,
1403684740,43.0082235,-81.2801468,
1403684744,43.0082398,-81.2667509,
1403684753,43.0082984,-81.2662168,
1403684756,43.008291,-81.2699256,
1403684812,43.0084804,-81.2656095,
1403684836,43.0085347,-81.265425,
1403684870,43.00858,-81.2652005,
1403684873,43.0085757,-81.2650547,
1403684880,43.0085921,-81.274488,
1403684894,43.0086064,-81.2654599,
1403684926,43.0087133,-81.2777019,
1403684932,43.008721,-81.2649498,
1403684954,43.0087639,-81.2697639,
1403685004,43.0088315,-81.2744258,
1403685008,43.008935,-81.2694892,
1403685020,43.0089935,-81.2775475,
1403685025,43.0090124,-81.2776661,
1403685032,43.0080884,-81.2740976,
1403685034,43.0091002,-81.2710504,
1403685038,43.0091271,-81.2769104,
1403685047,43.0091896,-81.270822,
1403685049,43.0092026,-81.268849,
1403685070,43.0092604,-81.2709526,
1403685072,43.0092666,-81.2736922,
1403685169,43.0095427,-81.2714764,
1403685180,43.0095179,-81.2708175,
1403685184,43.0095206,-81.2715665,
1403685236,43.0096057,-81.2712111,
1403685239,43.0096224,-81.2706641,
1403685268,43.0096344,-81.2716309,
1403685362,43.0098291,-81.2708252,
1403685379,43.0098562,-81.2750416,
1403685494,43.0101374,-81.2720106,
1403685500,43.0101473,-81.2771503,
1403685501,43.0101585,-81.2758202,
1403685506,43.0101648,-81.2732937,
1403685518,43.0101857,-81.2760254,
1403685523,43.0102038,-81.2761343,
1403685535,43.0101946,-81.275775,
1403685554,43.0102498,-81.2716734,
1403685559,43.0102591,-81.2768052,
1403685596,43.0102911,-81.2712097,
1403685606,43.0103474,-81.2771578,
1403685612,43.0103259,-81.2763958,
