osmid,lat,lng,names
20964462,43.6702351,-79.3867611,
20979755,43.6617827,-79.3898782,
24959508,43.6669535,-79.390801,
24959541,43.6666927,-79.4013203,
24959545,43.6652576,-79.3998054,
24959547,43.6660774,-79.3975836,
24959549,43.6620826,-79.3976065,
24959550,43.6617219,-79.399335,
24959555,43.6608683,-79.3989946,MP - McLennan Physical Laboratories
24959560,43.6601357,-79.3968142,
24959561,43.6591427,-79.3963883,
24959581,43.6599899,-79.4014732,
24959583,43.6597128,-79.4015716,
24960060,43.6633451,-79.3950952,
24960063,43.6635887,-79.3939688,
24960070,43.6623833,-79.3946707,
24960072,43.6624334,-79.3953325,
24960073,43.6623001,-79.3957753,
24960074,43.6620572,-79.396083,
24960075,43.6619109,-79.396159,
24960077,43.6613954,-79.3960175,
24960078,43.6611476,-79.3956519,
24960081,43.6612872,-79.3944632,
24960082,43.6615055,-79.3942718,
24960083,43.6616874,-79.3941932,
24960084,43.6619851,-79.3942181,
24960085,43.6620713,-79.3942562,
25628745,43.672134,-79.3851523,
25831235,43.6719214,-79.3841161,
26007926,43.6625119,-79.404808,
26007929,43.6619184,-79.4078717,
26007939,43.6607877,-79.404174,
26007943,43.6597035,-79.4026362,
26007947,43.6606319,-79.4021657,
26007949,43.6586658,-79.4058396,
26007950,43.6585411,-79.4065098,
26007951,43.6584056,-79.407161,
26007956,43.6638689,-79.4066269,
26007957,43.6636185,-79.4078363,
26009130,43.6576355,-79.4042039,
29603436,43.6554206,-79.3851985,
29604678,43.6544179,-79.406241,
29604679,43.6561545,-79.4069105,
29604720,43.6563015,-79.3983232,
29604999,43.6583838,-79.3913969,
29605004,43.6554915,-79.3884449,
29658387,43.6658386,-79.4033503,
29690349,43.6568364,-79.4058249,
29690366,43.656965,-79.405162,
29690555,43.6586959,-79.395989,
34936037,43.6558093,-79.3920588,
35537807,43.6708854,-79.39571,
36607342,43.6607316,-79.3906739,
36607360,43.6554283,-79.3887388,RU - Rehabilitation Sciences Building
42606787,43.6582588,-79.3896571,
42606791,43.6582088,-79.3898871,
42606808,43.6570944,-79.394562,
42606813,43.6588154,-79.3952819,
42606818,43.6558993,-79.3940413,
50885147,43.6622714,-79.3964704,
50885164,43.6623814,-79.3955625,
50885169,43.6624463,-79.3949487,
50885177,43.661867,-79.3924469,
50897854,43.6652754,-79.3947401,
50897859,43.6656193,-79.3950343,
50897869,43.6668512,-79.3953844,
50897874,43.6671728,-79.3955314,
50897901,43.6618572,-79.3913673,
50897919,43.6615384,-79.3921137,
50897923,43.6613928,-79.3922058,
50899620,43.6606597,-79.391079,
50899680,43.660807,-79.3909238,
50899717,43.6612901,-79.3911307,
52922360,43.6546952,-79.3842028,
53556710,43.66589,-79.4032391,
54965901,43.6560348,-79.4075312,
54965905,43.6562791,-79.4063102,
55808169,43.6633211,-79.3926798,
55808194,43.6645623,-79.392592,
55808205,43.664624,-79.392505,
55808224,43.664343,-79.3923033,
55808257,43.6635258,-79.3913707,
55808279,43.6640046,-79.3909153,
55808328,43.6650133,-79.3937553,
55808350,43.6663543,-79.3917419,
55808352,43.6666889,-79.3918634,
55808357,43.6666179,-79.3921671,NF - Northrop Frye Hall
55808367,43.6670301,-79.3925243,
55808414,43.6649592,-79.3937518,
55808416,43.66376,-79.3910271,
55808423,43.6657732,-79.3929182,
55808437,43.6653813,-79.392776,
55808451,43.662411,-79.3965512,
55808512,43.6626947,-79.3967057,
55808518,43.6627097,-79.3962119,
55808527,43.6626288,-79.3969903,
55808564,43.6629094,-79.3968103,
55808839,43.6617357,-79.400979,
59817393,43.6632421,-79.4012791,
59817394,43.6633721,-79.4006495,
59817396,43.6648199,-79.4019019,
60052037,43.6605685,-79.3916593,
60052038,43.6602026,-79.3911775,
60052040,43.6606202,-79.3918292,
60052042,43.661039,-79.3922785,
60052047,43.6606634,-79.3917209,
60052048,43.6599456,-79.3913775,
60052049,43.659973,-79.3912515,
60052050,43.6600457,-79.3909109,
60052054,43.660365,-79.3902301,
60052061,43.6635555,-79.3908315,
60052065,43.6619313,-79.3904556,
60654119,43.6649799,-79.3946971,
60654120,43.6651308,-79.3945415,
60654124,43.6652195,-79.3946242,
60654125,43.6651949,-79.3946029,
60654129,43.6650573,-79.3943387,
60654133,43.6674633,-79.3959908,
60682901,43.66119,-79.395748,
60683484,43.6575376,-79.4048343,
60683485,43.6604304,-79.4059824,
60683486,43.660694,-79.4046492,
60683487,43.6592606,-79.4040764,
60683489,43.6621974,-79.404167,
60683491,43.6607475,-79.4060489,
60683492,43.6653612,-79.4079004,
60683494,43.6637411,-79.4072667,
60683495,43.6639755,-79.4061124,
60683496,43.6640131,-79.4059164,
60683498,43.6643941,-79.4060647,
60683499,43.6656421,-79.4066807,
60683501,43.6657796,-79.4055802,
60683504,43.6623967,-79.4053702,
60683505,43.6610771,-79.4048714,
60683506,43.6657556,-79.4061181,
60683507,43.6579501,-79.4019351,
80927418,43.6635686,-79.3953562,
80927430,43.6665271,-79.4045228,
82759485,43.6546097,-79.401514,
82759526,43.6546619,-79.4051323,
82759533,43.6561238,-79.4048877,
82759536,43.65568,-79.4047374,
82759587,43.6576151,-79.4018902,
82759604,43.656397,-79.4011894,
82759633,43.6575258,-79.4023227,
82759635,43.6569059,-79.4020621,
82759639,43.656882,-79.4019761,
82759642,43.6562821,-79.4017403,
82759662,43.6561666,-79.4000181,
82759665,43.6553887,-79.3997766,
82759667,43.6551092,-79.4053046,
82759668,43.6551443,-79.4051357,
87475456,43.6659283,-79.3948118,
87475463,43.6663095,-79.3951553,
87486205,43.6592594,-79.3900868,
87486207,43.6592144,-79.3903178,
87858533,43.6674805,-79.4041797,
87858895,43.6673098,-79.4049963,
95378317,43.6648095,-79.3851821,
95378334,43.6612595,-79.3836915,
95378357,43.665969,-79.3843384,
95380046,43.6614665,-79.3865491,
95380051,43.6623558,-79.3869221,
123347786,43.6599088,-79.3944164,
123347984,43.6594995,-79.3965319,
123359419,43.6626146,-79.3894848,
123360260,43.6624712,-79.3890578,
123360265,43.6622925,-79.3893453,
127275360,43.6632224,-79.3963042,
127283024,43.6633455,-79.3970622,
127284677,43.6628122,-79.3973586,
127284680,43.6623,-79.3972114,
130167952,43.6574363,-79.4053455,
130168009,43.6611584,-79.4020435,
130168011,43.6604704,-79.4029458,
130168072,43.6621006,-79.4046454,
130168075,43.6606304,-79.4066236,
130168076,43.6608731,-79.4054453,
130168079,43.6609526,-79.405477,
130168182,43.6611907,-79.404289,
130168754,43.6624566,-79.4029084,
130169805,43.6629545,-79.4049853,
130169858,43.6615553,-79.4050056,
130169900,43.6612796,-79.4049515,
130170127,43.6605466,-79.4073105,
130170135,43.6604218,-79.4079783,
130170945,43.6625505,-79.3973853,
145465316,43.6599078,-79.403259,
145465408,43.6602619,-79.4033976,
145467035,43.6603488,-79.4039454,
145467101,43.6604447,-79.4034691,
145468461,43.6583488,-79.4026175,
145468560,43.6582472,-79.4031011,
148849104,43.6664673,-79.3926029,
152658550,43.6655289,-79.3883406,
152658557,43.6656223,-79.388387,
152659386,43.6586015,-79.399597,
207713496,43.6550677,-79.3980219,
207713502,43.6545888,-79.3978286,
207713505,43.6550971,-79.3954992,
207713515,43.6557191,-79.3971247,
207713516,43.6558961,-79.3962727,
207713519,43.6562522,-79.3963724,
207713520,43.6562635,-79.398514,
207713522,43.6556453,-79.3982667,
207713523,43.655954,-79.3978262,
207713525,43.6556456,-79.3970914,
207713527,43.6571149,-79.3986539,
207713622,43.6570488,-79.3970418,
207713645,43.6576421,-79.3972774,
215726254,43.6608044,-79.3993027,ES - Earth Sciences Centre
239055718,43.6614695,-79.3981427,
239055725,43.6607846,-79.3978583,
246693686,43.6583343,-79.3856719,
249989991,43.6582869,-79.3956962,
249990004,43.6584207,-79.3951056,
249991437,43.6615676,-79.3942389,
250950596,43.6711756,-79.3958222,
253807259,43.6644335,-79.4017494,
253807261,43.6645651,-79.4011117,
253807273,43.6653843,-79.401429,
253807276,43.6652364,-79.4021409,
253807277,43.6656345,-79.4024823,
253807296,43.6653101,-79.4023525,
253809247,43.665234,-79.3894823,
253809319,43.6660241,-79.3897869,
253815360,43.6670459,-79.3944308,
253815363,43.6663957,-79.3939301,
253815365,43.6664471,-79.3936422,
253815479,43.6664115,-79.3940108,
257499574,43.6673926,-79.4041439,
257499581,43.6671905,-79.404059,
260707894,43.6571465,-79.3851105,
260707895,43.6562746,-79.3847666,
262695469,43.6572392,-79.403765,
262695485,43.655974,-79.4032681,
262732431,43.6633647,-79.399684,
262732432,43.6632541,-79.3994123,
262817257,43.6621863,-79.4003522,
262817259,43.6620935,-79.4001426,
