osmid,lat,lng,names
31920104,42.3022961,-83.0674551,
31920269,42.3000016,-83.0645488,
31920364,42.3022135,-83.065546,
31920374,42.3025219,-83.0663123,
250003700,42.3057122,-83.0610255,
250003703,42.3031677,-83.0686618,
250417681,42.3007008,-83.0637338,
250417682,42.3010911,-83.0637682,
250417906,42.3096165,-83.0575636,
250417907,42.3072867,-83.0560644,
251548048,42.3076886,-83.0709913,
253290536,42.2987092,-83.064772,
253291176,42.3026279,-83.0657444,
253291177,42.3025953,-83.0658802,
253291184,42.3015728,-83.0640249,
253665875,42.3071222,-83.0648482,
256915543,42.3096047,-83.0705471,
256915546,42.3083236,-83.0697047,
256915556,42.308351,-83.06962,
256915557,42.3096566,-83.0704831,
256915588,42.3086713,-83.0686048,
256915735,42.3053102,-83.0622919,
256915740,42.3053443,-83.0621865,
256915792,42.3008311,-83.0621331,
256915794,42.3067495,-83.0659269,
256915800,42.3079685,-83.0624684,
256916047,42.3009637,-83.0633791,
256916049,42.3013045,-83.0624383,
256916087,42.3015889,-83.0626216,
256916273,42.3006945,-83.058082,
256916275,42.3016823,-83.0586434,
256916276,42.3028083,-83.0591799,
256917001,42.3072615,-83.0719602,
256917415,42.3012499,-83.0708133,
256917453,42.3007392,-83.069022,
256917466,42.3002566,-83.0699459,
256917553,42.3011728,-83.0692957,
256917789,42.2990936,-83.0716242,
256917796,42.3003147,-83.0736304,
256917970,42.3011759,-83.073113,
256917973,42.2966641,-83.0730351,
256918026,42.297245,-83.0726738,
256918147,42.2975055,-83.0707578,
256918150,42.2981027,-83.0691124,
256918176,42.2981435,-83.0721273,
256918187,42.2977763,-83.072348,
256918208,42.2977927,-83.073696,
256918215,42.29814,-83.0734956,
256918236,42.2968856,-83.0729003,
256918301,42.2979361,-83.0722484,
256918592,42.2998555,-83.0739089,
256918619,42.2986165,-83.0718333,
256918631,42.2993963,-83.0741734,
256918642,42.2976455,-83.071373,
256918659,42.2979906,-83.0709644,
256918660,42.2982751,-83.0701456,
256918663,42.2979357,-83.0695719,
257489062,42.3031554,-83.0582001,
257489116,42.3035085,-83.0572034,
257489313,42.3069528,-83.0571164,
257489322,42.3038499,-83.0574227,
257490251,42.3033466,-83.0589204,
257490256,42.30552,-83.0603191,
257490271,42.3050973,-83.0629687,
257490302,42.307291,-83.0643733,
257490303,42.3089511,-83.0654364,
257490304,42.3091701,-83.0647824,
257490354,42.3098482,-83.069367,
257490370,42.3100258,-83.06887,
257490371,42.3088576,-83.0680166,
257490446,42.3092423,-83.0573237,
257490599,42.3094,-83.0566816,
257641147,42.2984363,-83.0580136,
257641150,42.300961,-83.0573604,
257641151,42.3010577,-83.0569246,
257641244,42.3003565,-83.0564698,
257641508,42.3024844,-83.0566088,
257641540,42.3025366,-83.056501,
257641923,42.2968342,-83.0569651,
257642115,42.2993827,-83.059883,
257642135,42.2997316,-83.0588467,
257642948,42.2980905,-83.0564024,
257643738,42.3008342,-83.0602113,
257643784,42.2966342,-83.0575211,
257643801,42.2969806,-83.057741,
257647792,42.301206,-83.0594175,
259380149,42.2966295,-83.0649261,
260060146,42.305347,-83.0608037,
353294872,42.3063459,-83.0590255,
353294881,42.3066593,-83.058041,
353636838,42.304936,-83.0634741,
353636846,42.3041869,-83.0564513,
356148467,42.3008409,-83.0696071,
593032995,42.2974577,-83.0708153,
593033011,42.2985464,-83.0651469,
593033016,42.2986508,-83.0649064,
593033018,42.3006159,-83.0606826,
593033020,42.3019675,-83.0615531,
1133046837,42.2995498,-83.0593867,
1133046902,42.2968883,-83.0640817,
1133046912,42.3098957,-83.0567854,
1133047011,42.301588,-83.0585985,
1608077934,42.2973522,-83.0674925,
1608077938,42.2997874,-83.0701979,
1738814234,42.2985544,-83.0646562,
1738818560,42.3039298,-83.0666655,
1738819174,42.3002036,-83.0701346,
1738819588,42.2995494,-83.0662374,
2627336677,42.3083711,-83.069826,
2627336678,42.3057621,-83.0696238,
2627336681,42.3053132,-83.0693395,
3563766394,42.2995356,-83.0661152,
3563766395,42.2996012,-83.0661385,
3766710955,42.3000499,-83.0701383,
3766710956,42.3001128,-83.069944,
3766711857,42.2999951,-83.0696339,
3766711868,42.3001739,-83.0699526,
3766711878,42.3001944,-83.0701238,
3766711886,42.3001086,-83.0699267,
3784892370,42.3053185,-83.0664445,
3784892371,42.3054114,-83.0661824,
3784892375,42.3061768,-83.0667156,
3784892377,42.3062293,-83.0665214,
3784892378,42.3070812,-83.0670559,
3784892380,42.3065864,-83.0667362,
3784892382,42.3068705,-83.0660052,
3784892383,42.3067838,-83.0668638,
3784892384,42.3070263,-83.0661063,
3784892389,42.3062755,-83.0679138,
3784892392,42.3064791,-83.0673227,
3784892393,42.3068932,-83.0675885,
3784892394,42.3067442,-83.0679419,
3784892397,42.3064078,-83.0672769,
3784892399,42.3059773,-83.0674552,
3784892400,42.3060134,-83.0673517,
3784892402,42.3060844,-83.0669854,
3784892404,42.3058036,-83.0667518,
3784892406,42.3058984,-83.0676811,
3784892409,42.3053494,-83.0680137,
3784892410,42.3050122,-83.0684361,
3784892414,42.3047782,-83.0679578,
3784892428,42.3048639,-83.0676334,
3784892432,42.3047618,-83.0671735,
3784892433,42.3046439,-83.0674973,
3784892437,42.3070805,-83.0684386,
3784892438,42.3071009,-83.0683786,
3784892439,42.3072499,-83.0684755,
3784892440,42.3074599,-83.0679369,
3784892443,42.307661,-83.0665178,
3784892444,42.307443,-83.067138,
3784892445,42.3073061,-83.0670506,
3784892449,42.3074356,-83.0680029,
3784892454,42.3064901,-83.0657591,
3784916562,42.3057174,-83.0664275,
3784916580,42.3063476,-83.067696,
3784973481,42.3055436,-83.0658095,
3784973482,42.3057347,-83.0652704,
3795370461,42.3052809,-83.0662153,
3795370462,42.3048671,-83.0654382,
3795370468,42.3048211,-83.0658143,
3795370469,42.3047319,-83.0660729,
3795442854,42.3046225,-83.0651825,
3795442856,42.304811,-83.0655939,
3857017214,42.3054389,-83.0640488,
3857017220,42.3048476,-83.0640098,
3857017222,42.304668,-83.0645803,
3857017230,42.3052739,-83.0661367,
3857017234,42.3057074,-83.0670263,
3857017237,42.3046432,-83.0663301,
3857017239,42.3044618,-83.0673847,
3857017246,42.3082036,-83.0684673,
3857017251,42.3071328,-83.0661744,
3857105679,42.3056686,-83.0682125,
3857105680,42.3052733,-83.0694551,
3857105681,42.3068321,-83.0691221,
3857105682,42.3068034,-83.0694275,
3857105688,42.3082983,-83.0681895,
3857105690,42.3084856,-83.0669218,
4216237445,42.3050603,-83.0630814,
4318943165,42.3060283,-83.0600314,
4318943168,42.3077647,-83.06115,
4318945843,42.3074918,-83.0636375,
4318945845,42.3075419,-83.063668,
4318945877,42.3077623,-83.0638118,
4324478573,42.2995648,-83.067069,
4324507771,42.3031722,-83.0594125,
4324507772,42.3035196,-83.0584323,
4324508581,42.3015638,-83.0586503,
4324508786,42.3056977,-83.0598207,
4330094473,42.2968089,-83.0713083,
4330096220,42.2976814,-83.0733723,
4330096394,42.2978566,-83.0741145,
4330096395,42.2992931,-83.0716053,
4330106648,42.2998004,-83.0739274,
4519794965,42.3071303,-83.0704816,
4519794966,42.3073301,-83.0699939,
4519794971,42.3076323,-83.0698519,
4519794972,42.3080501,-83.0701138,
4519794976,42.3070929,-83.0698895,
4519794979,42.3071482,-83.0704327,
4519796631,42.3081575,-83.0697808,
4519796839,42.3063408,-83.0699885,
4519796841,42.3067857,-83.0694824,
4519796842,42.3065296,-83.0694453,
4519796843,42.3064155,-83.0697739,
4519796844,42.3061498,-83.0698663,
4703074568,42.2988682,-83.0647056,
4813000850,42.3009564,-83.0635946,
4813000852,42.3022665,-83.0570793,
4813000858,42.301376,-83.0585275,
4813000863,42.3007398,-83.060147,
4813000864,42.3031272,-83.0569586,
4813000867,42.3059843,-83.0587933,
4813000878,42.3026436,-83.0596438,
4813000879,42.3089112,-83.0660164,
4813000881,42.3090624,-83.0655637,
4813000887,42.3097925,-83.0570695,
4813000892,42.3091876,-83.0572877,
4813000897,42.3090132,-83.0579143,
4813001129,42.3068164,-83.0575461,
4813001130,42.3065178,-83.0584869,
4813001133,42.3067082,-83.0592581,
4813001134,42.3063675,-83.0602499,
4813001135,42.306031,-83.0612294,
4813001136,42.3061977,-83.0607441,
4813001140,42.3099216,-83.0631659,
4813001152,42.30979,-83.0665724,
4813001154,42.3092321,-83.0668334,
4813001156,42.3084856,-83.0692038,
4813001161,42.3096787,-83.0692599,
4813001162,42.3001438,-83.0686461,
4813001165,42.3004786,-83.0698172,
4813001166,42.3008915,-83.0710238,
4813001167,42.2986394,-83.0694582,
4813001168,42.2987799,-83.0690411,
4813001169,42.297113,-83.0710231,
4813001170,42.2975932,-83.0724603,
4813001173,42.2992134,-83.0736244,
4813001174,42.2996698,-83.073381,
4813001175,42.3001299,-83.0730836,
4833057131,42.3055072,-83.0616634,
4845845261,42.3088518,-83.0699455,
4845845262,42.3088127,-83.0700261,
4845845263,42.3091717,-83.0702621,
4845845264,42.3092097,-83.0701781,
4845877792,42.3086596,-83.0643168,
4845877793,42.3086146,-83.0644333,
4845877794,42.3056617,-83.0623891,
4845877795,42.3056272,-83.0624941,
4845877796,42.3059568,-83.0625775,
4845877797,42.3059213,-83.0626817,
4845877798,42.3063026,-83.0627982,
4845877799,42.306268,-83.0629029,
4855622391,42.29848,-83.0693555,
4878724552,42.3035319,-83.0625606,
4878724553,42.3040922,-83.0609489,
5013335078,42.305047,-83.0657087,
5698741023,42.3009351,-83.0656155,
5729371622,42.3065299,-83.0568484,
5729371623,42.3060713,-83.0576636,
5736713095,42.3069725,-83.0731177,
5736713103,42.3069053,-83.0732032,
7166133265,42.3022451,-83.0735509,
7199214653,42.2983014,-83.0667309,
7199214656,42.2989468,-83.065342,
7199214657,42.2982978,-83.0656245,
7199214658,42.2986725,-83.065931,
7199214659,42.2984735,-83.0657662,
7199214663,42.2988176,-83.0656201,
7225186109,42.3005583,-83.0643102,
7225186112,42.3006172,-83.0640329,
7225186117,42.3012211,-83.0641647,
7225186121,42.3015626,-83.0649209,
7225186122,42.301646,-83.0646815,
7225186123,42.3011636,-83.0643424,
7225186126,42.3011513,-83.0643805,
7225186127,42.3010819,-83.064596,
7229588515,42.3074744,-83.0726824,
7229588523,42.3080759,-83.0735789,
7229588524,42.3072693,-83.0728699,
7229588528,42.3075773,-83.0728809,
7337295175,42.3049454,-83.0654889,
7337295179,42.305233,-83.064221,
7337295183,42.3065503,-83.0673684,
7337295184,42.306622,-83.0671584,
